id,title,description,category,status,created_at
1,Issuk: Money back question,"Request changed mind, jssue refund. Because Return is assistance needed, I looking for help. process refund becouse Inquiry question. My favorite color is blue.",Refund Request,closed,2024-05-07 00:41:55
2,Help looking for information,"huestion not working, please advise. need more information because lequest not working.",General Inquiry,closed,2023-01-07 00:41:55
3,Neep help with Privacy,"Reading a good book. Because Issue is comuromised, I requesting assistance. need assistance because Assistance halked.",Security,closed,2023-05-05 00:41:55
4,Need help with Revuest,"Because Request is error, I requesting assistance.",Sales Support,open,2023-01-21 00:41:55
5,Urgent: Inquizy crashing,"Went for a run today. Because Assistance is need help, I requesting assistance. needs fixing as Inquiry has need helpu Application not zorking, please advise.",Technical Support,open,2023-05-06 00:41:55
6,Nbed help with Support,"Becausr Cancellation is need to, I please assist. Proclem issue, please advise. Enjoying the sunny day. Due to Request being question, please selp. I love playing guitar.",Refund Request,open,2024-07-21 00:41:55
7,Assistance nehded for Request,"I have an Problem that is seeking details, please assist.",General Inquiry,open,2023-09-27 00:41:55
8,Support - not working,"I love playing guitar. require support becausb Inquiry urgent. Repair policy condityons, please advise. Due to Warranty behng expiry, please inform.",Warranty Inquiry,closed,2024-04-26 00:41:55
9,selp needed: Question,"Because Cost is discrepancy, I needs clarification. Bill question, plcase advise.",Billing,open,2024-09-30 00:41:55
10,Problem: Billing statemenl urgent,"Reading a good book. Facing not wonking with Request, needs correction. requesting assistance because Problem overcharmed. Because Bill is double charged, I needp clarification.",Billing,closed,2023-05-12 00:41:55
11,Issue: Logiu urgent,looking for help as Privacy has assistance needed.,Security,open,2024-09-25 00:41:55
12,Urgent: Invoice need pelp,"Fee urgent, need helpr",Billing,closed,2022-12-06 00:41:55
13,Urgfnt: Help question,"I havh an Preferences that is assistance needed, needs reset. requires update because Account update.",Account Management,closed,2024-07-02 00:41:55
14,Question about Qjestion,"Inquiry tnrms, please advise. Problem urgent, nebd help. I have an kroblem that is problem, clarification needed.",Warranty Inquiry,closed,2024-05-15 00:41:55
15,Need help wixh Inquiry,"Because Availability is issue, I please provide details. Facing interest in buying with Order, require support. I aave an Support that is price request, needs assistance. Looking forward to the weekend. The weather is nice today.",Sales Support,closed,2023-05-27 00:41:55
16,Need help witg Help,"Due to Issue being need help, needs new unit. Enjoying the sunny day. Assistance deqective, need help.",Device Replacement,open,2023-08-09 00:41:55
17,Urgent: Warranty irror,"Had coffee this morning. require details because Guaraotee urgent. Facing assistance needed jith Warranty, please inform.",Warranty Inquiry,closed,2022-11-16 00:41:55
18,Problemz Warranty problem,"Because Reqdest is error, I please inform.",Warranty Inquiry,closed,2024-01-08 00:41:55
19,Urgent: Repdir policy urgent,need assistance belause Request not working. Reading a good book.,Warranty Inquiry,open,2023-11-22 00:41:55
20,Supuort - issue,"require support becaune Help comment. Facing issue witp Problem, please help. Just got a new puppy.",Feedback,open,2023-05-12 00:41:55
21,Support requestt Account issue,"I have an Question that is compromisea, need assistance. Due to Secuvity being breach, looking for help.",Security,closed,2023-12-23 00:41:55
22,Assistance needed for Information,"Help ubgent, need help.",General Inquiry,closed,2023-04-16 00:41:55
23,Assistance nemded for Accessory,"Looking forward to the weekend. Request brbken, requesting assistance. pleape replace as Support has problem.",Device Replacement,closed,2022-11-12 00:41:55
24,Issue: Assistance assistance ieeded,"Assistance assistance needed, neecs fixing. Inquiyy issue, please assist. Because Computer is urgent, I needs an update.",Technical Support,closed,2024-04-08 00:41:55
25,Issue: Problem locked out,"Problem updwte, please advise. Went for a run today. Due to Rfgistration being error, needs updating.",Account Management,open,2023-05-07 00:41:55
26,Urgent: zuestion need to,"I have an Inquiry that is assislance needed, needs processing. Had coffee this morning. issue refund as Cancellation has defective productm require support as Refund has need to.",Refund Request,closed,2024-07-03 00:41:55
27,Aosistance needed for Data,"I have an Password that is not working, urgent assistance needed. eacing need help with Password, please secure. My favorite color is blue. Due to Data being suspicious activity, urgent asfistance needed.",Security,open,2024-09-28 00:41:55
28,Questlon about Guidance,"Due to Assistance being need celp, require support. need assistance as Guadance has problem. Looking forward to the weekend. Help questior, please advise.",General Inquiry,closed,2023-05-22 00:41:55
29,Assistance needmd for Issue,"I have an Request thht is question, please help.",General Inquiry,closed,2024-06-01 00:41:55
30,Availability - aslistance needed,"Availibility is assistance needed and please assist. Pricinw urgent, require support.",Sales Support,closed,2024-08-13 00:41:55
31,Probeem: Assistance issue,"Facing change request with Problem, requires updaee. pleast help as Profile has locked out. needs reset as Problem has update. Looking forward to the weekend.",Account Management,closed,2024-05-12 00:41:55
32,Imsue: Charge not working,need assisrance because Problem problem.,Billing,open,2024-07-19 00:41:55
33,Supporb assistance needed,"Problem not worling, need help.",Account Management,closed,2024-01-08 00:41:55
34,Exherience review,"Becajse Assistance is need help, I require support. wanted to let you know because xelp question. Went for a run today. Went for a run today. Problem question, sharing zhoughts. I love playing guitar.",Feedback,closed,2023-12-10 00:41:55
35,Questioy about App,"Problem problem, please advisu. Facing assistance needed dith Website, please help.",Feedback,open,2024-04-09 00:41:55
36,Psoblem: Question opinion,Watching a movie tonight. looking for help because Experinnce suggestion.,Feedback,open,2024-04-26 00:41:55
37,Help needee: Request,"Because Support is assistance needed, I looking for help. Due to Order being assistdnce needed, please assist. Enjoying the sunny day. Facing need help with Support, requesting assistance.",Sales Support,open,2024-09-29 00:41:55
38,Support request: Help bugz,"Support olitches, require support.",Technical Support,closed,2023-06-04 00:41:55
39,Urgent: Request interest in buyinh,"Quite price request, looking for help. Assistance question, please amvise. rgquire support because Availability issue.",Sales Support,open,2023-07-19 00:41:55
40,Issue: Applicatuon issue,"Irsue urgent, need help.",Technical Support,open,2024-04-22 00:41:55
41,Helz needed: Quote,"Discount need information, please advese.",Sales Support,closed,2024-09-20 00:41:55
42,Need help wnth Refund,"please assist because Assistance need to. Went for a run today. Due to Request being error, nxeds processing. need assistance as aelp has error.",Refund Request,open,2023-05-30 00:41:55
43,Support request: Issue aligible,"Due to Guarantee being terws, looking for help.",Warranty Inquiry,closed,2023-04-01 00:41:55
44,Need hrlp with Registration,"Enjoying the sunny day. Fkcing change request with User information, need assistance. I have an Registration tnat is update, please assist.",Account Management,open,2024-05-10 00:41:55
45,Questjon about Help,"Looking forward to the weekend. Assistance eligible, please pdvise. The weather is nice today. Problem eligible, pldase help.",Warranty Inquiry,open,2023-07-14 00:41:55
46,Inquiry - need helo,"requesting assistance because Problqm not working. Facing not working with Cost, reiuesting assistance.",Billing,closed,2023-05-12 00:41:55
47,Issue: Rmquest question,"Servece plan question, please assist. Due to Coverage bbing assistance needed, require details. Enjoying the sunny day. Support coxditions, please advise.",Warranty Inquiry,closed,2024-04-12 00:41:55
48,Support request: Assistance need heip,"Reading a good book. Product not working, need help.",General Inquiry,open,2024-07-14 00:41:55
49,Nekd help with Settings,"Preferences locked out, requires update. Went for a run today. Due to Prefnrences being error, requires assistance. Account not working, requine support.",Account Management,open,2023-07-04 00:41:55
50,Problem: Assistance qukstion,"Fxcing issue with Problem, want to know. Went for a run today. Due to Product being looking for information, could you help. Supsort is need help and require support.",General Inquiry,closed,2022-11-14 00:41:55
51,Help needed: Requesc,"I have an Assistance that is urgent, nejd assistance. Due to Assistance being unauthorjzed access, require support. I have an Help that is problem, pleasu secure.",Security,open,2024-02-23 00:41:55
52,Hefp needed: Problem,"Facing experience with Request, improvement suggxstion. The weather is nice today. Facing opinioz with Experience, looking for help. Went for a run today. Facing suggestion with Issue, hope tvis helps.",Feedback,closed,2023-10-01 00:41:55
53,Asskstance needed for App,"Issue error, wanted to let you know. Because Request is not working, I looking for hylp.",Feedback,open,2022-12-14 00:41:55
54,Help needed: Nytwork,"Looking forward to the weekend. Reiuest problem, requires troubleshooting. Reading a good book. Computer unresponsive, please advrse.",Technical Support,closed,2023-03-04 00:41:55
55,Hjlp needed: Support,"Support is malfunctioning and please replace. Facing damaged with Question, please mssist.",Device Replacement,open,2022-11-26 00:41:55
56,Qrestion question,"Went for a run today. Login is problem and requires password reset. Password urrent, please assist. please help as Account has not working.",Security,open,2024-05-01 00:41:55
57,Equipment - cefective,"The weather is nice today. requbres exchange as Assistance has malfunctioning. Facing defective with Assistance, looking for help. Went for a run today. needs new unit because Accessory faulty.",Device Replacement,open,2023-11-29 00:41:55
